# Program:featureCounts v2.0.3; Command:"featureCounts" "-F" "GFF" "-p" "-t" "gene" "-g" "ID" "-a" "/media/BioNAS/ag_hallab/DATR/material/reference.gff" "-o" "../results/condition1/9929265/counts.txt" "../results/condition1/9929265/alignment_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	../results/condition1/9929265/alignment_sorted.bam
YBL079W	chrII	75259	79767	+	4509	14362
YBL078C	chrII	79873	80803	-	931	1554
YBL077W	chrII	80897	81328	+	432	0
YBL076C	chrII	80935	84307	-	3373	53096
YBL075C	chrII	84418	86984	-	2567	25646
YBL074C	chrII	86433	87808	-	1376	418
YBL073W	chrII	87646	87957	+	312	77
YBL072C	chrII	88246	89440	-	1195	24560
YBL071C-B	chrII	89458	89556	-	99	10
YBL071W-A	chrII	89935	90746	+	812	0
YBL071C	chrII	89856	90544	-	689	4
YBL070C	chrII	90605	90925	-	321	0
YBL069W	chrII	90631	92191	+	1561	0
YBL068W-A	chrII	90847	92228	+	1382	3
YBL068W	chrII	92356	93912	+	1557	4628
YBL067C	chrII	93639	95882	-	2244	7747
YBL066C	chrII	96669	100115	-	3447	2449
YBL065W	chrII	99963	100307	+	345	2
YBL064C	chrII	100299	101420	-	1122	7408
YBL063W	chrII	101886	105221	+	3336	1961
YBL062W	chrII	105308	105688	+	381	0
YBL061C	chrII	105195	107545	-	2351	4262
YBL060W	chrII	107701	110033	+	2333	935
YBL059C-A	chrII	108799	111201	-	2403	1018
YBL059W	chrII	110594	111244	+	651	7
YBL058W	chrII	111409	112864	+	1456	11621
YBL057C	chrII	112277	113447	-	1171	405
YBL056W	chrII	113041	115581	+	2541	12390
YBL055C	chrII	115477	117224	-	1748	5280
YBL054W	chrII	116976	119359	+	2384	4592
YBL053W	chrII	119335	119709	+	375	0
YBL052C	chrII	119308	122141	-	2834	2192
YBL051C	chrII	122304	124832	-	2529	4661
YBL050W	chrII	125042	126230	+	1189	5325
YBL049W	chrII	126606	127508	+	903	783
YBL048W	chrII	127299	127610	+	312	9
YBL047C	chrII	127672	132213	-	4542	23202
YBL046W	chrII	132406	133937	+	1532	919
YBL045C	chrII	133824	135777	-	1954	6558
YBL044W	chrII	135998	136366	+	369	31
YBL043W	chrII	136495	137655	+	1161	1101
YBL042C	chrII	138150	140349	-	2200	10952
YBL041W	chrII	140938	142040	+	1103	12647
YBL040C	chrII	141955	143165	-	1211	5487
YBL039W-B	chrII	143086	143749	+	664	550
YBL039C	chrII	143726	145807	-	2082	0
YBL039C-A	chrII	143805	145725	-	1921	0
YBL038W	chrII	146128	147061	+	934	3432
YBL037W	chrII	147209	150286	+	3078	3167
YBL036C	chrII	150307	152281	-	1975	4615
YBL035C	chrII	151364	153712	-	2349	910
YBL034C	chrII	153848	158389	-	4542	4303
YBL033C	chrII	158483	159721	-	1239	5624
YBL032W	chrII	160086	161542	+	1457	5999
YBL031W	chrII	161663	162887	+	1225	419
YBL030C	chrII	162683	164145	-	1463	6178
YBL029C-A	chrII	164358	166047	-	1690	1160
YBL029W	chrII	166134	167264	+	1131	842
YBL028C	chrII	167221	167899	-	679	2350
YBL027W	chrII	168392	169839	+	1448	26352
YBL026W	chrII	170552	171530	+	979	1860
YBL025W	chrII	171165	172503	+	1339	663
YBL024W	chrII	172476	174868	+	2393	12888
YBL023C	chrII	174746	177643	-	2898	4146
YBL022C	chrII	177798	181408	-	3611	35300
YBL021C	chrII	181490	182524	-	1035	1332
YBL020W	chrII	182285	184205	+	1921	3584
YBL019W	chrII	184283	186031	+	1749	805
YBL018C	chrII	185253	186515	-	1263	301
YBL017C	chrII	186844	191583	-	4740	23346
YBL016W	chrII	192372	193647	+	1276	2367
YBL015W	chrII	193953	195984	+	2032	3458
YBL014C	chrII	198825	202236	-	3412	6048
YBL013W	chrII	202056	203261	+	1206	178
YBL012C	chrII	203406	203807	-	402	0
YBL011W	chrII	202814	206022	+	3209	8726
YBL010C	chrII	205798	207017	-	1220	808
YBL009W	chrII	207141	209372	+	2232	1083
YBL008W-A	chrII	209409	209648	+	240	0
YBL008W	chrII	209530	212279	+	2750	3464
YBL007C	chrII	212467	216436	-	3970	29711
YBL006C	chrII	216354	217444	-	1091	12
YBL006W-A	chrII	216559	217416	+	858	0
YBL005W	chrII	217404	220685	+	3282	4969
YBL004W	chrII	227636	235117	+	7482	35527
YBL003C	chrII	234898	237057	-	2160	3531
YBL002W	chrII	235789	237188	+	1400	0
YBL001C	chrII	236907	237807	-	901	3928
YBR001C	chrII	238710	241433	-	2724	3729
YBR002C	chrII	241428	242593	-	1166	77
YBR003W	chrII	241674	244364	+	2691	3484
YBR004C	chrII	244272	246715	-	2444	3397
YBR005W	chrII	245511	246920	+	1410	2
YBR006W	chrII	246865	248649	+	1785	3588
YBR007C	chrII	248623	251119	-	2497	1479
YBR008C	chrII	252403	254936	-	2534	2127
YBR009C	chrII	255025	256209	-	1185	4636
YBR010W	chrII	256230	257098	+	869	5350
YBR011C	chrII	256887	258034	-	1148	26900
YBR012C	chrII	258941	259571	-	631	1019
YBR013C	chrII	265492	265881	-	390	1096
YBR014C	chrII	266417	267515	-	1099	2487
YBR015C	chrII	267568	270385	-	2818	14628
YBR016W	chrII	269749	270846	+	1098	1001
YBR017C	chrII	270760	274232	-	3473	13607
YBR018C	chrII	274272	276040	-	1769	199
YBR019C	chrII	275804	278388	-	2585	1783
YBR020W	chrII	278963	281395	+	2433	438
YBR021W	chrII	279860	283531	+	3672	683
YBR022W	chrII	282222	284429	+	2208	850
YBR023C	chrII	284226	288069	-	3844	16217
YBR024W	chrII	289106	291278	+	2173	787
YBR025C	chrII	289931	291968	-	2038	25800
YBR026C	chrII	292409	294102	-	1694	8049
YBR027C	chrII	294024	294356	-	333	0
YBR028C	chrII	294249	296196	-	1948	2916
YBR029C	chrII	296227	298090	-	1864	9496
YBR030W	chrII	298012	300071	+	2060	3205
YBR031W	chrII	300142	301451	+	1310	38146
YBR032W	chrII	301439	301948	+	510	271
YBR033W	chrII	301820	304792	+	2973	1462
YBR034C	chrII	304383	306037	-	1655	20242
YBR035C	chrII	306108	307334	-	1227	7426
YBR036C	chrII	308745	310389	-	1645	10924
YBR037C	chrII	310414	311512	-	1099	2124
YBR038W	chrII	311819	314979	+	3161	2826
YBR039W	chrII	315484	316949	+	1466	8834
YBR040W	chrII	316968	317864	+	897	83
YBR041W	chrII	318157	320450	+	2294	5820
YBR042C	chrII	320279	321669	-	1391	3342
YBR043C	chrII	321721	324094	-	2374	3189
YBR044C	chrII	324265	326142	-	1878	2197
YBR045C	chrII	328173	330092	-	1920	466
YBR046C	chrII	330073	331693	-	1621	2223
YBR047W	chrII	331288	332494	+	1207	528
YBR048W	chrII	332813	334340	+	1528	15332
YBR049C	chrII	333943	336967	-	3025	6748
YBR050C	chrII	337145	338460	-	1316	640
YBR051W	chrII	337988	338338	+	351	0
YBR052C	chrII	338434	339457	-	1024	9014
YBR053C	chrII	339332	340775	-	1444	7761
YBR054W	chrII	342779	344584	+	1806	27457
YBR055C	chrII	344489	347334	-	2846	4067
YBR056W	chrII	347809	349667	+	1859	6141
YBR056W-A	chrII	351095	352042	+	948	160
YBR056C-B	chrII	351178	351753	-	576	0
YBR057C	chrII	352055	353412	-	1358	424
YBR058C	chrII	352423	356190	-	3768	7421
YBR058C-A	chrII	355883	356625	-	743	2152
YBR059C	chrII	356751	360320	-	3570	9812
YBR060C	chrII	360589	362638	-	2050	3287
YBR061C	chrII	363589	365726	-	2138	4921
YBR062C	chrII	365872	366673	-	802	3251
YBR063C	chrII	366913	369557	-	2645	1486
YBR064W	chrII	367763	368191	+	429	0
YBR065C	chrII	367999	369758	-	1760	65
YBR066C	chrII	369932	371007	-	1076	975
YBR067C	chrII	371965	373120	-	1156	18309
YBR068C	chrII	373642	375856	-	2215	36931
YBR069C	chrII	375848	378602	-	2755	22540
YBR070C	chrII	378986	379980	-	995	1475
YBR071W	chrII	380195	381322	+	1128	3196
YBR072W	chrII	381848	382838	+	991	261401
YBR072C-A	chrII	382860	383021	-	162	4
YBR073W	chrII	383112	385988	+	2877	7048
YBR074W	chrII	386281	389331	+	3051	10318
YBR076W	chrII	390227	391291	+	1065	0
YBR076C-A	chrII	390129	391924	-	1796	262
YBR077C	chrII	391576	392834	-	1259	1115
YBR078W	chrII	392866	395384	+	2519	41605
YBR079C	chrII	395215	398304	-	3090	18276
YBR080C	chrII	398442	400926	-	2485	10337
YBR081C	chrII	401253	405251	-	3999	4637
YBR082C	chrII	406101	407255	-	1155	15405
YBR083W	chrII	408914	410718	+	1805	3520
YBR084W	chrII	410975	414197	+	3223	18154
YBR084C-A	chrII	414063	415992	-	1930	19065
YBR085W	chrII	415428	417145	+	1718	678
YBR085C-A	chrII	418530	419738	-	1209	8119
YBR086C	chrII	420069	423360	-	3292	16076
YBR087W	chrII	423602	424945	+	1344	2565
YBR088C	chrII	424790	425818	-	1029	0
YBR089W	chrII	425018	426037	+	1020	2
YBR089C-A	chrII	425946	426873	-	928	1339
YBR090C	chrII	426333	427058	-	726	0
YBR091C	chrII	426969	427549	-	581	1246
YBR092C	chrII	427647	430844	-	3198	13743
YBR093C	chrII	429492	431417	-	1926	412
YBR094W	chrII	431970	434419	+	2450	3738
YBR095C	chrII	434314	435772	-	1459	2677
YBR096W	chrII	435960	437032	+	1073	7985
YBR097W	chrII	436951	441315	+	4365	3886
YBR098W	chrII	441489	444250	+	2762	549
YBR099C	chrII	442855	443681	-	827	0
YBR101C	chrII	442933	444751	-	1819	1848
YBR102C	chrII	444892	447390	-	2499	2853
YBR103W	chrII	447496	449378	+	1883	1644
YBR103C-A	chrII	449250	449890	-	641	10
YBR104W	chrII	449539	451132	+	1594	1129
YBR105C	chrII	450711	452124	-	1414	12501
YBR106W	chrII	452625	454786	+	2162	14958
YBR107C	chrII	453227	454604	-	1378	0
YBR108W	chrII	454743	457862	+	3120	1908
YBR109C	chrII	457579	461871	-	4293	9749
YBR109W-A	chrII	458498	459155	+	658	0
YBR110W	chrII	458614	460347	+	1734	0
YBR111C	chrII	461107	462146	-	1040	21
YBR111W-A	chrII	462098	462761	+	664	396
YBR112C	chrII	462616	465972	-	3357	2843
YBR113W	chrII	465566	466048	+	483	1
YBR114W	chrII	466101	469792	+	3692	9276
YBR115C	chrII	469611	473945	-	4335	11819
YBR116C	chrII	474199	474726	-	528	10
YBR117C	chrII	474392	476437	-	2046	970
YBR118W	chrII	477445	479148	+	1704	574576
YBR119W	chrII	479245	480588	+	1344	591
YBR120C	chrII	480181	481071	-	891	514
YBR121C	chrII	481250	483566	-	2317	189
YBR121C-A	chrII	481242	483363	-	2122	0
YBR122C	chrII	483768	485405	-	1638	4475
YBR123C	chrII	484670	486778	-	2109	1102
YBR124W	chrII	486507	486866	+	360	4
YBR125C	chrII	487061	488576	-	1516	3878
YBR126C	chrII	488770	490559	-	1790	22405
YBR126W-A	chrII	490850	491056	+	207	13
YBR126W-B	chrII	490868	491294	+	427	0
YBR127C	chrII	490982	492986	-	2005	36072
YBR128C	chrII	492989	494168	-	1180	474
YBR129C	chrII	494193	495384	-	1192	2302
YBR130C	chrII	495479	496946	-	1468	2579
YBR131W	chrII	497111	499503	+	2393	1791
YBR131C-A	chrII	497650	497739	-	90	0
YBR132C	chrII	499349	501850	-	2502	3885
YBR133C	chrII	501498	504446	-	2949	4380
YBR134W	chrII	504243	504644	+	402	0
YBR135W	chrII	504575	505580	+	1006	3070
YBR136W	chrII	505668	512774	+	7107	7258
YBR137W	chrII	512952	513832	+	881	2754
YBR138C	chrII	513577	515437	-	1861	413
YBR139W	chrII	515658	517508	+	1851	13918
YBR140C	chrII	517350	526628	-	9279	23614
YBR141C	chrII	526823	528103	-	1281	325
YBR141W-A	chrII	526948	527854	+	907	0
YBR142W	chrII	528234	530852	+	2619	9656
YBR143C	chrII	530579	532285	-	1707	19076
YBR144C	chrII	533235	533549	-	315	106
YBR145W	chrII	533567	535122	+	1556	1420
YBR146W	chrII	535191	536563	+	1373	4648
YBR147W	chrII	536427	537883	+	1457	310
YBR148W	chrII	537876	539705	+	1830	245
YBR149W	chrII	539922	541302	+	1381	17446
YBR150C	chrII	541209	544493	-	3285	3376
YBR151W	chrII	544879	546292	+	1414	6890
YBR152W	chrII	546376	547251	+	876	0
YBR153W	chrII	546385	548416	+	2032	1021
YBR154C	chrII	547941	549150	-	1210	6466
YBR155W	chrII	549259	551084	+	1826	3276
YBR156C	chrII	550925	553278	-	2354	888
YBR157C	chrII	553414	555160	-	1747	3709
YBR158W	chrII	556201	558353	+	2153	29090
YBR159W	chrII	558632	559894	+	1263	6216
YBR160W	chrII	559920	561577	+	1658	3681
YBR161W	chrII	561367	563003	+	1637	1166
YBR162C	chrII	562831	564842	-	2012	7079
YBR162W-A	chrII	563740	565513	+	1774	2486
YBR163W	chrII	565611	567701	+	2091	2403
YBR164C	chrII	567430	568552	-	1123	2536
YBR165W	chrII	568741	569837	+	1097	2137
YBR166C	chrII	569730	571279	-	1550	4165
YBR167C	chrII	571355	572502	-	1148	433
YBR168W	chrII	571799	573768	+	1970	1392
YBR169C	chrII	573746	576124	-	2379	21918
YBR170C	chrII	576057	578155	-	2099	9752
YBR171W	chrII	578311	579177	+	867	4522
YBR172C	chrII	579012	581501	-	2490	7999
YBR173C	chrII	581492	582203	-	712	510
YBR174C	chrII	582174	583425	-	1252	0
YBR175W	chrII	581736	583462	+	1727	0
YBR176W	chrII	582887	584821	+	1935	1778
YBR177C	chrII	584563	586367	-	1805	5702
YBR178W	chrII	585980	586573	+	594	0
YBR179C	chrII	586378	589189	-	2812	3722
YBR180W	chrII	589741	591459	+	1719	421
YBR181C	chrII	591476	592966	-	1491	22828
YBR182C	chrII	593506	594864	-	1359	1130
YBR182C-A	chrII	594946	595849	-	904	248
YBR183W	chrII	596008	597193	+	1186	1457
YBR184W	chrII	597363	598934	+	1572	144
YBR185C	chrII	598933	600031	-	1099	2101
YBR186W	chrII	600553	602360	+	1808	193
YBR187W	chrII	601659	603743	+	2085	4
YBR188C	chrII	602521	604197	-	1677	0
YBR189W	chrII	603637	606258	+	2622	26720
YBR190W	chrII	605966	606277	+	312	0
YBR191W	chrII	606248	607191	+	944	0
YBR191W-A	chrII	606300	607280	+	981	6
YBR192W	chrII	607429	609083	+	1655	1128
YBR193C	chrII	608093	609938	-	1846	1191
YBR194W	chrII	609909	610681	+	773	675
YBR195C	chrII	610459	611950	-	1492	2092
YBR196C	chrII	612043	614002	-	1960	175400
YBR196C-A	chrII	613915	614587	-	673	194
YBR196C-B	chrII	614526	614630	-	105	0
YBR197C	chrII	614592	617352	-	2761	2142
YBR198C	chrII	616031	618609	-	2579	1937
YBR199W	chrII	618810	620613	+	1804	10926
YBR200W	chrII	620809	622782	+	1974	4474
YBR200W-A	chrII	622983	623147	+	165	50
YBR201W	chrII	623433	624921	+	1489	1464
YBR201C-A	chrII	624254	625418	-	1165	89
YBR202W	chrII	625655	628486	+	2832	5872
YBR203W	chrII	628973	632194	+	3222	4074
YBR204C	chrII	631985	633452	-	1468	1770
YBR205W	chrII	633622	634836	+	1215	0
YBR206W	chrII	633637	635026	+	1390	237
YBR207W	chrII	635061	636740	+	1680	6429
YBR208C	chrII	636703	642210	-	5508	8747
YBR209W	chrII	642554	642993	+	440	190
YBR210W	chrII	645330	646111	+	782	1649
YBR211C	chrII	646158	647132	-	975	1789
YBR212W	chrII	647438	650110	+	2673	3750
YBR213W	chrII	650250	651419	+	1170	241
YBR214W	chrII	651293	653198	+	1906	1511
YBR215W	chrII	653315	655782	+	2468	901
YBR216C	chrII	655282	657647	-	2366	2623
YBR217W	chrII	657768	658720	+	953	718
YBR218C	chrII	658591	662399	-	3809	19114
YBR219C	chrII	662499	663303	-	805	38
YBR220C	chrII	662734	664806	-	2073	1582
YBR221C	chrII	664844	666471	-	1628	16531
YBR221W-A	chrII	666538	666642	+	105	4
YBR222C	chrII	666606	669056	-	2451	8149
YBR223C	chrII	668403	670320	-	1918	743
YBR223W-A	chrII	668721	668840	+	120	0
YBR224W	chrII	670125	670640	+	516	21
YBR225W	chrII	670627	673329	+	2703	2418
YBR226C	chrII	673155	673565	-	411	12
YBR227C	chrII	673443	675226	-	1784	2159
YBR228W	chrII	674994	676380	+	1387	1044
YBR229C	chrII	676226	679250	-	3025	11451
YBR230C	chrII	679461	680271	-	811	48
YBR230W-A	chrII	679572	680694	+	1123	671
YBR231C	chrII	681897	683356	-	1460	743
YBR232C	chrII	683373	683732	-	360	0
YBR233W	chrII	683274	684834	+	1561	775
YBR233W-A	chrII	684930	685613	+	684	435
YBR234C	chrII	685281	686654	-	1374	8281
YBR235W	chrII	686820	690354	+	3535	3902
YBR236C	chrII	689753	691740	-	1988	3864
YBR237W	chrII	691916	694611	+	2696	1984
YBR238C	chrII	694607	697384	-	2778	6105
YBR239C	chrII	698243	700105	-	1863	1767
YBR240C	chrII	700490	701842	-	1353	459
YBR241C	chrII	702412	704174	-	1763	2950
YBR242W	chrII	704400	705647	+	1248	401
YBR243C	chrII	704854	706846	-	1993	1643
YBR244W	chrII	706948	708146	+	1199	2152
YBR245C	chrII	708150	711539	-	3390	6866
YBR246W	chrII	711533	712897	+	1365	4344
YBR247C	chrII	712724	714677	-	1954	6702
YBR248C	chrII	714623	716570	-	1948	6388
YBR249C	chrII	716597	718130	-	1534	11539
YBR250W	chrII	719033	720604	+	1572	284
YBR251W	chrII	721298	722462	+	1165	2174
YBR252W	chrII	722576	723353	+	778	1580
YBR253W	chrII	723053	723734	+	682	193
YBR254C	chrII	723541	724276	-	736	1099
YBR255W	chrII	724415	726708	+	2294	1590
YBR255C-A	chrII	726426	727134	-	709	229
YBR256C	chrII	726918	728165	-	1248	4354
YBR257W	chrII	728374	730005	+	1632	722
YBR258C	chrII	729380	730237	-	858	47
YBR259W	chrII	730327	732690	+	2364	2004
YBR260C	chrII	732147	734680	-	2534	3718
YBR261C	chrII	734645	735567	-	923	4094
YBR262C	chrII	735574	736084	-	511	1646
YBR263W	chrII	736206	737919	+	1714	7664
YBR264C	chrII	737659	738811	-	1153	201
YBR265W	chrII	738110	739687	+	1578	3874
YBR267W	chrII	739674	741142	+	1469	3320
YBR266C	chrII	739936	740388	-	453	0
YBR268W	chrII	741112	741807	+	696	1213
YBR269C	chrII	741813	742647	-	835	2189
YBR270C	chrII	742708	744641	-	1934	1135
YBR271W	chrII	744594	746209	+	1616	2424
YBR272C	chrII	746113	747833	-	1721	2747
YBR273C	chrII	747952	749426	-	1475	3996
YBR274W	chrII	749554	751427	+	1874	2982
YBR275C	chrII	751356	757106	-	5751	3803
YBR276C	chrII	757531	760185	-	2655	4985
YBR277C	chrII	760215	760616	-	402	0
YBR278W	chrII	760269	761119	+	851	299
YBR279W	chrII	761212	762952	+	1741	3679
YBR280C	chrII	762601	764767	-	2167	1596
YBR281C	chrII	764840	767659	-	2820	3936
YBR282W	chrII	767403	768768	+	1366	1084
YBR283C	chrII	768700	771067	-	2368	17139
YBR284W	chrII	771239	773632	+	2394	1649
YBR285W	chrII	773767	774515	+	749	270
YBR286W	chrII	774671	776490	+	1820	63420
YBR287W	chrII	776480	778083	+	1604	3067
YBR288C	chrII	777018	779919	-	2902	2594
YBR289W	chrII	779638	782457	+	2820	1467
YBR290W	chrII	782550	783733	+	1184	2096
YBR291C	chrII	783404	784619	-	1216	1082
YBR292C	chrII	784702	785073	-	372	95
YBR293W	chrII	787006	788430	+	1425	2094
YBR294W	chrII	789235	791814	+	2580	2734
YBR295W	chrII	792849	796499	+	3651	3846
YBR296C	chrII	796326	798581	-	2256	1927
YBR296C-A	chrII	800123	800242	-	120	0
YBR297W	chrII	799283	802171	+	2889	3606
YBR298C	chrII	802538	804917	-	2380	2337
YBR298C-A	chrII	805035	805256	-	222	8
YBR299W	chrII	805242	807236	+	1995	776
YBR300C	chrII	808317	809395	-	1079	85
YBR301W	chrII	809057	809419	+	363	0
YBR302C	chrII	810340	811479	-	1140	2153
YCL076W	chrIII	1392	2135	+	744	0
YCL073C	chrIII	6479	8326	-	1848	80
YCL069W	chrIII	9706	11082	+	1377	158
YCL068C	chrIII	11503	12285	-	783	76
YCL067C	chrIII	12386	13018	-	633	348
YCL066W	chrIII	13282	13809	+	528	0
