# Program:featureCounts v2.0.3; Command:"featureCounts" "-F" "GFF" "-p" "-t" "gene" "-g" "ID" "-a" "/media/BioNAS/ag_hallab/DATR/material/reference.gff" "-o" "../results/control/9929263/counts.txt" "../results/control/9929263/alignment_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	../results/control/9929263/alignment_sorted.bam
YBL078C	chrII	79873	80803	-	931	549
YBL077W	chrII	80897	81328	+	432	0
YBL076C	chrII	80935	84307	-	3373	83855
YBL075C	chrII	84418	86984	-	2567	1404
YBL074C	chrII	86433	87808	-	1376	288
YBL073W	chrII	87646	87957	+	312	21
YBL072C	chrII	88246	89440	-	1195	73233
YBL071C-B	chrII	89458	89556	-	99	8
YBL071W-A	chrII	89935	90746	+	812	0
YBL071C	chrII	89856	90544	-	689	0
YBL070C	chrII	90605	90925	-	321	0
YBL069W	chrII	90631	92191	+	1561	0
YBL068W-A	chrII	90847	92228	+	1382	1
YBL068W	chrII	92356	93912	+	1557	3308
YBL067C	chrII	93639	95882	-	2244	5120
YBL066C	chrII	96669	100115	-	3447	2045
YBL065W	chrII	99963	100307	+	345	1
YBL064C	chrII	100299	101420	-	1122	1985
YBL063W	chrII	101886	105221	+	3336	2132
YBL062W	chrII	105308	105688	+	381	0
YBL061C	chrII	105195	107545	-	2351	2952
YBL060W	chrII	107701	110033	+	2333	523
YBL059C-A	chrII	108799	111201	-	2403	630
YBL059W	chrII	110594	111244	+	651	6
YBL058W	chrII	111409	112864	+	1456	5279
YBL057C	chrII	112277	113447	-	1171	297
YBL056W	chrII	113041	115581	+	2541	9687
YBL055C	chrII	115477	117224	-	1748	2879
YBL054W	chrII	116976	119359	+	2384	3104
YBL053W	chrII	119335	119709	+	375	0
YBL052C	chrII	119308	122141	-	2834	2565
YBL051C	chrII	122304	124832	-	2529	5784
YBL050W	chrII	125042	126230	+	1189	2974
YBL049W	chrII	126606	127508	+	903	306
YBL048W	chrII	127299	127610	+	312	6
YBL047C	chrII	127672	132213	-	4542	23519
YBL046W	chrII	132406	133937	+	1532	986
YBL045C	chrII	133824	135777	-	1954	5828
YBL044W	chrII	135998	136366	+	369	18
YBL043W	chrII	136495	137655	+	1161	242
YBL042C	chrII	138150	140349	-	2200	6657
YBL041W	chrII	140938	142040	+	1103	5825
YBL040C	chrII	141955	143165	-	1211	3888
YBL039W-B	chrII	143086	143749	+	664	335
YBL039C	chrII	143726	145807	-	2082	0
YBL039C-A	chrII	143805	145725	-	1921	0
YBL038W	chrII	146128	147061	+	934	1595
YBL037W	chrII	147209	150286	+	3078	2521
YBL036C	chrII	150307	152281	-	1975	3695
YBL035C	chrII	151364	153712	-	2349	1500
YBL034C	chrII	153848	158389	-	4542	4020
YBL033C	chrII	158483	159721	-	1239	2106
YBL032W	chrII	160086	161542	+	1457	7256
YBL031W	chrII	161663	162887	+	1225	517
YBL030C	chrII	162683	164145	-	1463	7222
YBL029C-A	chrII	164358	166047	-	1690	648
YBL029W	chrII	166134	167264	+	1131	492
YBL028C	chrII	167221	167899	-	679	3014
YBL027W	chrII	168392	169839	+	1448	70850
YBL026W	chrII	170552	171530	+	979	1939
YBL025W	chrII	171165	172503	+	1339	495
YBL024W	chrII	172476	174868	+	2393	14295
YBL023C	chrII	174746	177643	-	2898	3870
YBL022C	chrII	177798	181408	-	3611	16261
YBL021C	chrII	181490	182524	-	1035	691
YBL020W	chrII	182285	184205	+	1921	3689
YBL019W	chrII	184283	186031	+	1749	362
YBL018C	chrII	185253	186515	-	1263	472
YBL017C	chrII	186844	191583	-	4740	23720
YBL016W	chrII	192372	193647	+	1276	2718
YBL015W	chrII	193953	195984	+	2032	2100
YBL014C	chrII	198825	202236	-	3412	3804
YBL013W	chrII	202056	203261	+	1206	153
YBL012C	chrII	203406	203807	-	402	0
YBL011W	chrII	202814	206022	+	3209	6246
YBL010C	chrII	205798	207017	-	1220	746
YBL009W	chrII	207141	209372	+	2232	2817
YBL008W-A	chrII	209409	209648	+	240	1
YBL008W	chrII	209530	212279	+	2750	2296
YBL007C	chrII	212467	216436	-	3970	22123
YBL006C	chrII	216354	217444	-	1091	7
YBL006W-A	chrII	216559	217416	+	858	0
YBL005W	chrII	217404	220685	+	3282	4519
YBL004W	chrII	227636	235117	+	7482	43331
YBL003C	chrII	234898	237057	-	2160	10402
YBL002W	chrII	235789	237188	+	1400	0
YBL001C	chrII	236907	237807	-	901	2251
YBR001C	chrII	238710	241433	-	2724	2223
YBR002C	chrII	241428	242593	-	1166	56
YBR003W	chrII	241674	244364	+	2691	2617
YBR004C	chrII	244272	246715	-	2444	1799
YBR005W	chrII	245511	246920	+	1410	2
YBR006W	chrII	246865	248649	+	1785	1217
YBR007C	chrII	248623	251119	-	2497	1289
YBR008C	chrII	252403	254936	-	2534	2031
YBR009C	chrII	255025	256209	-	1185	15481
YBR010W	chrII	256230	257098	+	869	15516
YBR011C	chrII	256887	258034	-	1148	42604
YBR012C	chrII	258941	259571	-	631	399
YBR013C	chrII	265492	265881	-	390	266
YBR014C	chrII	266417	267515	-	1099	1512
YBR015C	chrII	267568	270385	-	2818	13050
YBR016W	chrII	269749	270846	+	1098	858
YBR017C	chrII	270760	274232	-	3473	12050
YBR018C	chrII	274272	276040	-	1769	156
YBR019C	chrII	275804	278388	-	2585	990
YBR020W	chrII	278963	281395	+	2433	217
YBR021W	chrII	279860	283531	+	3672	499
YBR022W	chrII	282222	284429	+	2208	595
YBR023C	chrII	284226	288069	-	3844	12728
YBR024W	chrII	289106	291278	+	2173	376
YBR025C	chrII	289931	291968	-	2038	22739
YBR026C	chrII	292409	294102	-	1694	3617
YBR027C	chrII	294024	294356	-	333	0
YBR028C	chrII	294249	296196	-	1948	2595
YBR029C	chrII	296227	298090	-	1864	4968
YBR030W	chrII	298012	300071	+	2060	2078
YBR031W	chrII	300142	301451	+	1310	87928
YBR032W	chrII	301439	301948	+	510	123
YBR033W	chrII	301820	304792	+	2973	706
YBR034C	chrII	304383	306037	-	1655	10576
YBR035C	chrII	306108	307334	-	1227	5640
YBR036C	chrII	308745	310389	-	1645	7861
YBR037C	chrII	310414	311512	-	1099	1571
YBR038W	chrII	311819	314979	+	3161	5019
YBR039W	chrII	315484	316949	+	1466	6570
YBR040W	chrII	316968	317864	+	897	147
YBR041W	chrII	318157	320450	+	2294	6044
YBR042C	chrII	320279	321669	-	1391	2647
YBR043C	chrII	321721	324094	-	2374	1848
YBR044C	chrII	324265	326142	-	1878	1474
YBR045C	chrII	328173	330092	-	1920	253
YBR046C	chrII	330073	331693	-	1621	1067
YBR047W	chrII	331288	332494	+	1207	243
YBR048W	chrII	332813	334340	+	1528	36729
YBR049C	chrII	333943	336967	-	3025	5356
YBR050C	chrII	337145	338460	-	1316	201
YBR051W	chrII	337988	338338	+	351	0
YBR052C	chrII	338434	339457	-	1024	3144
YBR053C	chrII	339332	340775	-	1444	2460
YBR054W	chrII	342779	344584	+	1806	3686
YBR055C	chrII	344489	347334	-	2846	3049
YBR056W	chrII	347809	349667	+	1859	3022
YBR056W-A	chrII	351095	352042	+	948	54
YBR056C-B	chrII	351178	351753	-	576	0
YBR057C	chrII	352055	353412	-	1358	298
YBR058C	chrII	352423	356190	-	3768	4941
YBR058C-A	chrII	355883	356625	-	743	1736
YBR059C	chrII	356751	360320	-	3570	7437
YBR060C	chrII	360589	362638	-	2050	2250
YBR061C	chrII	363589	365726	-	2138	3232
YBR062C	chrII	365872	366673	-	802	1037
YBR063C	chrII	366913	369557	-	2645	830
YBR064W	chrII	367763	368191	+	429	0
YBR065C	chrII	367999	369758	-	1760	50
YBR066C	chrII	369932	371007	-	1076	902
YBR067C	chrII	371965	373120	-	1156	10173
YBR068C	chrII	373642	375856	-	2215	21695
YBR069C	chrII	375848	378602	-	2755	17544
YBR070C	chrII	378986	379980	-	995	1199
YBR071W	chrII	380195	381322	+	1128	2091
YBR072W	chrII	381848	382838	+	991	953
YBR072C-A	chrII	382860	383021	-	162	4
YBR073W	chrII	383112	385988	+	2877	7007
YBR074W	chrII	386281	389331	+	3051	9131
YBR076W	chrII	390227	391291	+	1065	0
YBR076C-A	chrII	390129	391924	-	1796	113
YBR077C	chrII	391576	392834	-	1259	566
YBR078W	chrII	392866	395384	+	2519	57142
YBR079C	chrII	395215	398304	-	3090	25145
YBR080C	chrII	398442	400926	-	2485	8320
YBR081C	chrII	401253	405251	-	3999	4507
YBR082C	chrII	406101	407255	-	1155	7249
YBR083W	chrII	408914	410718	+	1805	3011
YBR084W	chrII	410975	414197	+	3223	27236
YBR084C-A	chrII	414063	415992	-	1930	46846
YBR085W	chrII	415428	417145	+	1718	791
YBR085C-A	chrII	418530	419738	-	1209	2620
YBR086C	chrII	420069	423360	-	3292	21980
YBR087W	chrII	423602	424945	+	1344	2039
YBR088C	chrII	424790	425818	-	1029	0
YBR089W	chrII	425018	426037	+	1020	0
YBR089C-A	chrII	425946	426873	-	928	626
YBR090C	chrII	426333	427058	-	726	0
YBR091C	chrII	426969	427549	-	581	659
YBR092C	chrII	427647	430844	-	3198	16565
YBR093C	chrII	429492	431417	-	1926	301
YBR094W	chrII	431970	434419	+	2450	3277
YBR095C	chrII	434314	435772	-	1459	1594
YBR096W	chrII	435960	437032	+	1073	4268
YBR097W	chrII	436951	441315	+	4365	3244
YBR098W	chrII	441489	444250	+	2762	470
YBR099C	chrII	442855	443681	-	827	0
YBR101C	chrII	442933	444751	-	1819	1570
YBR102C	chrII	444892	447390	-	2499	2185
YBR103W	chrII	447496	449378	+	1883	1546
YBR103C-A	chrII	449250	449890	-	641	2
YBR104W	chrII	449539	451132	+	1594	1423
YBR105C	chrII	450711	452124	-	1414	2476
YBR106W	chrII	452625	454786	+	2162	12032
YBR107C	chrII	453227	454604	-	1378	0
YBR108W	chrII	454743	457862	+	3120	1442
YBR109C	chrII	457579	461871	-	4293	6949
YBR109W-A	chrII	458498	459155	+	658	0
YBR110W	chrII	458614	460347	+	1734	0
YBR111C	chrII	461107	462146	-	1040	1
YBR111W-A	chrII	462098	462761	+	664	269
YBR112C	chrII	462616	465972	-	3357	4731
YBR113W	chrII	465566	466048	+	483	0
YBR114W	chrII	466101	469792	+	3692	2549
YBR115C	chrII	469611	473945	-	4335	16627
YBR116C	chrII	474199	474726	-	528	0
YBR117C	chrII	474392	476437	-	2046	517
YBR118W	chrII	477445	479148	+	1704	734861
YBR119W	chrII	479245	480588	+	1344	414
YBR120C	chrII	480181	481071	-	891	333
YBR121C	chrII	481250	483566	-	2317	170
YBR121C-A	chrII	481242	483363	-	2122	0
YBR122C	chrII	483768	485405	-	1638	2547
YBR123C	chrII	484670	486778	-	2109	726
YBR124W	chrII	486507	486866	+	360	3
YBR125C	chrII	487061	488576	-	1516	2197
YBR126C	chrII	488770	490559	-	1790	9412
YBR126W-A	chrII	490850	491056	+	207	8
YBR126W-B	chrII	490868	491294	+	427	0
YBR127C	chrII	490982	492986	-	2005	54276
YBR128C	chrII	492989	494168	-	1180	231
YBR129C	chrII	494193	495384	-	1192	1606
YBR130C	chrII	495479	496946	-	1468	2904
YBR131W	chrII	497111	499503	+	2393	1279
YBR131C-A	chrII	497650	497739	-	90	0
YBR132C	chrII	499349	501850	-	2502	1952
YBR133C	chrII	501498	504446	-	2949	4518
YBR134W	chrII	504243	504644	+	402	0
YBR135W	chrII	504575	505580	+	1006	2066
YBR136W	chrII	505668	512774	+	7107	5769
YBR137W	chrII	512952	513832	+	881	1092
YBR138C	chrII	513577	515437	-	1861	428
YBR139W	chrII	515658	517508	+	1851	3892
YBR140C	chrII	517350	526628	-	9279	19065
YBR141C	chrII	526823	528103	-	1281	203
YBR141W-A	chrII	526948	527854	+	907	0
YBR142W	chrII	528234	530852	+	2619	7495
YBR143C	chrII	530579	532285	-	1707	21337
YBR144C	chrII	533235	533549	-	315	23
YBR145W	chrII	533567	535122	+	1556	1021
YBR146W	chrII	535191	536563	+	1373	3596
YBR147W	chrII	536427	537883	+	1457	84
YBR148W	chrII	537876	539705	+	1830	140
YBR149W	chrII	539922	541302	+	1381	7325
YBR150C	chrII	541209	544493	-	3285	1879
YBR151W	chrII	544879	546292	+	1414	8469
YBR152W	chrII	546376	547251	+	876	0
YBR153W	chrII	546385	548416	+	2032	858
YBR154C	chrII	547941	549150	-	1210	4446
YBR155W	chrII	549259	551084	+	1826	2291
YBR156C	chrII	550925	553278	-	2354	1114
YBR157C	chrII	553414	555160	-	1747	2047
YBR158W	chrII	556201	558353	+	2153	19739
YBR159W	chrII	558632	559894	+	1263	7516
YBR160W	chrII	559920	561577	+	1658	2178
YBR161W	chrII	561367	563003	+	1637	1206
YBR162C	chrII	562831	564842	-	2012	13065
YBR162W-A	chrII	563740	565513	+	1774	2587
YBR163W	chrII	565611	567701	+	2091	1793
YBR164C	chrII	567430	568552	-	1123	2574
YBR165W	chrII	568741	569837	+	1097	1231
YBR166C	chrII	569730	571279	-	1550	2939
YBR167C	chrII	571355	572502	-	1148	249
YBR168W	chrII	571799	573768	+	1970	844
YBR169C	chrII	573746	576124	-	2379	2768
YBR170C	chrII	576057	578155	-	2099	3718
YBR171W	chrII	578311	579177	+	867	3240
YBR172C	chrII	579012	581501	-	2490	4431
YBR173C	chrII	581492	582203	-	712	205
YBR174C	chrII	582174	583425	-	1252	0
YBR175W	chrII	581736	583462	+	1727	0
YBR176W	chrII	582887	584821	+	1935	876
YBR177C	chrII	584563	586367	-	1805	3213
YBR178W	chrII	585980	586573	+	594	0
YBR179C	chrII	586378	589189	-	2812	2503
YBR180W	chrII	589741	591459	+	1719	227
YBR181C	chrII	591476	592966	-	1491	60403
YBR182C	chrII	593506	594864	-	1359	427
YBR182C-A	chrII	594946	595849	-	904	90
YBR183W	chrII	596008	597193	+	1186	713
YBR184W	chrII	597363	598934	+	1572	238
YBR185C	chrII	598933	600031	-	1099	1368
YBR186W	chrII	600553	602360	+	1808	80
YBR187W	chrII	601659	603743	+	2085	0
YBR188C	chrII	602521	604197	-	1677	0
YBR189W	chrII	603637	606258	+	2622	74691
YBR190W	chrII	605966	606277	+	312	0
YBR191W	chrII	606248	607191	+	944	0
YBR191W-A	chrII	606300	607280	+	981	11
YBR192W	chrII	607429	609083	+	1655	754
YBR193C	chrII	608093	609938	-	1846	821
YBR194W	chrII	609909	610681	+	773	335
YBR195C	chrII	610459	611950	-	1492	1449
YBR196C	chrII	612043	614002	-	1960	135353
YBR196C-A	chrII	613915	614587	-	673	145
YBR196C-B	chrII	614526	614630	-	105	0
YBR197C	chrII	614592	617352	-	2761	1629
YBR198C	chrII	616031	618609	-	2579	1585
YBR199W	chrII	618810	620613	+	1804	8958
YBR200W	chrII	620809	622782	+	1974	3240
YBR200W-A	chrII	622983	623147	+	165	1
YBR201W	chrII	623433	624921	+	1489	944
YBR201C-A	chrII	624254	625418	-	1165	50
YBR202W	chrII	625655	628486	+	2832	5990
YBR203W	chrII	628973	632194	+	3222	1193
YBR204C	chrII	631985	633452	-	1468	1265
YBR205W	chrII	633622	634836	+	1215	0
YBR206W	chrII	633637	635026	+	1390	298
YBR207W	chrII	635061	636740	+	1680	4096
YBR208C	chrII	636703	642210	-	5508	8029
YBR209W	chrII	642554	642993	+	440	92
YBR210W	chrII	645330	646111	+	782	1286
YBR211C	chrII	646158	647132	-	975	1144
YBR212W	chrII	647438	650110	+	2673	3322
YBR213W	chrII	650250	651419	+	1170	179
YBR214W	chrII	651293	653198	+	1906	1459
YBR215W	chrII	653315	655782	+	2468	1014
YBR216C	chrII	655282	657647	-	2366	2201
YBR217W	chrII	657768	658720	+	953	502
YBR218C	chrII	658591	662399	-	3809	25538
YBR219C	chrII	662499	663303	-	805	22
YBR220C	chrII	662734	664806	-	2073	2657
YBR221C	chrII	664844	666471	-	1628	21405
YBR221W-A	chrII	666538	666642	+	105	0
YBR222C	chrII	666606	669056	-	2451	5269
YBR223C	chrII	668403	670320	-	1918	488
YBR223W-A	chrII	668721	668840	+	120	0
YBR224W	chrII	670125	670640	+	516	25
YBR225W	chrII	670627	673329	+	2703	1672
YBR226C	chrII	673155	673565	-	411	17
YBR227C	chrII	673443	675226	-	1784	1597
YBR228W	chrII	674994	676380	+	1387	643
YBR229C	chrII	676226	679250	-	3025	8836
YBR230C	chrII	679461	680271	-	811	28
YBR230W-A	chrII	679572	680694	+	1123	344
YBR231C	chrII	681897	683356	-	1460	505
YBR232C	chrII	683373	683732	-	360	0
YBR233W	chrII	683274	684834	+	1561	590
YBR233W-A	chrII	684930	685613	+	684	455
YBR234C	chrII	685281	686654	-	1374	5707
YBR235W	chrII	686820	690354	+	3535	3783
YBR236C	chrII	689753	691740	-	1988	2348
YBR237W	chrII	691916	694611	+	2696	1384
YBR238C	chrII	694607	697384	-	2778	5475
YBR239C	chrII	698243	700105	-	1863	1241
YBR240C	chrII	700490	701842	-	1353	217
YBR241C	chrII	702412	704174	-	1763	1082
YBR242W	chrII	704400	705647	+	1248	385
YBR243C	chrII	704854	706846	-	1993	2179
YBR244W	chrII	706948	708146	+	1199	5205
YBR245C	chrII	708150	711539	-	3390	7128
YBR246W	chrII	711533	712897	+	1365	2770
YBR247C	chrII	712724	714677	-	1954	5202
YBR248C	chrII	714623	716570	-	1948	5588
YBR249C	chrII	716597	718130	-	1534	19359
YBR250W	chrII	719033	720604	+	1572	109
YBR251W	chrII	721298	722462	+	1165	1339
YBR252W	chrII	722576	723353	+	778	1899
YBR253W	chrII	723053	723734	+	682	135
YBR254C	chrII	723541	724276	-	736	945
YBR255W	chrII	724415	726708	+	2294	1135
YBR255C-A	chrII	726426	727134	-	709	116
YBR256C	chrII	726918	728165	-	1248	2798
YBR257W	chrII	728374	730005	+	1632	404
YBR258C	chrII	729380	730237	-	858	40
YBR259W	chrII	730327	732690	+	2364	1040
YBR260C	chrII	732147	734680	-	2534	2253
YBR261C	chrII	734645	735567	-	923	3116
YBR262C	chrII	735574	736084	-	511	971
YBR263W	chrII	736206	737919	+	1714	18264
YBR264C	chrII	737659	738811	-	1153	143
YBR265W	chrII	738110	739687	+	1578	3167
YBR267W	chrII	739674	741142	+	1469	1874
YBR266C	chrII	739936	740388	-	453	0
YBR268W	chrII	741112	741807	+	696	985
YBR269C	chrII	741813	742647	-	835	988
YBR270C	chrII	742708	744641	-	1934	567
YBR271W	chrII	744594	746209	+	1616	2216
YBR272C	chrII	746113	747833	-	1721	1940
YBR273C	chrII	747952	749426	-	1475	2442
YBR274W	chrII	749554	751427	+	1874	1944
YBR275C	chrII	751356	757106	-	5751	5715
YBR276C	chrII	757531	760185	-	2655	4992
YBR277C	chrII	760215	760616	-	402	0
YBR278W	chrII	760269	761119	+	851	251
YBR279W	chrII	761212	762952	+	1741	2772
YBR280C	chrII	762601	764767	-	2167	961
YBR281C	chrII	764840	767659	-	2820	3617
YBR282W	chrII	767403	768768	+	1366	729
YBR283C	chrII	768700	771067	-	2368	19712
YBR284W	chrII	771239	773632	+	2394	344
YBR285W	chrII	773767	774515	+	749	99
YBR286W	chrII	774671	776490	+	1820	57431
YBR287W	chrII	776480	778083	+	1604	1812
YBR288C	chrII	777018	779919	-	2902	2378
YBR289W	chrII	779638	782457	+	2820	1719
YBR290W	chrII	782550	783733	+	1184	1223
YBR291C	chrII	783404	784619	-	1216	718
YBR292C	chrII	784702	785073	-	372	53
YBR293W	chrII	787006	788430	+	1425	1208
YBR294W	chrII	789235	791814	+	2580	1194
YBR295W	chrII	792849	796499	+	3651	2025
YBR296C	chrII	796326	798581	-	2256	104
YBR296C-A	chrII	800123	800242	-	120	0
YBR297W	chrII	799283	802171	+	2889	881
YBR298C	chrII	802538	804917	-	2380	1303
YBR298C-A	chrII	805035	805256	-	222	0
YBR299W	chrII	805242	807236	+	1995	312
YBR300C	chrII	808317	809395	-	1079	67
YBR301W	chrII	809057	809419	+	363	0
YBR302C	chrII	810340	811479	-	1140	2129
YCL076W	chrIII	1392	2135	+	744	0
YCL073C	chrIII	6479	8326	-	1848	30
YCL069W	chrIII	9706	11082	+	1377	57
YCL068C	chrIII	11503	12285	-	783	81
YCL067C	chrIII	12386	13018	-	633	196
YCL066W	chrIII	13282	13809	+	528	0
YCL065W	chrIII	13751	14119	+	369	43
YCL064C	chrIII	15225	16899	-	1675	11614
