# Program:featureCounts v2.0.3; Command:"featureCounts" "-F" "GFF" "-p" "-t" "gene" "-g" "ID" "-a" "/media/BioNAS/ag_hallab/DATR/material/reference.gff" "-o" "../results/condition1/9929274/counts.txt" "../results/condition1/9929274/alignment_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	../results/condition1/9929274/alignment_sorted.bam
YBL078C	chrII	79873	80803	-	931	884
YBL077W	chrII	80897	81328	+	432	2
YBL076C	chrII	80935	84307	-	3373	40229
YBL075C	chrII	84418	86984	-	2567	16060
YBL074C	chrII	86433	87808	-	1376	450
YBL073W	chrII	87646	87957	+	312	94
YBL072C	chrII	88246	89440	-	1195	23382
YBL071C-B	chrII	89458	89556	-	99	5
YBL071W-A	chrII	89935	90746	+	812	0
YBL071C	chrII	89856	90544	-	689	1
YBL070C	chrII	90605	90925	-	321	0
YBL069W	chrII	90631	92191	+	1561	0
YBL068W-A	chrII	90847	92228	+	1382	0
YBL068W	chrII	92356	93912	+	1557	3180
YBL067C	chrII	93639	95882	-	2244	5584
YBL066C	chrII	96669	100115	-	3447	2347
YBL065W	chrII	99963	100307	+	345	0
YBL064C	chrII	100299	101420	-	1122	6067
YBL063W	chrII	101886	105221	+	3336	1600
YBL062W	chrII	105308	105688	+	381	0
YBL061C	chrII	105195	107545	-	2351	3152
YBL060W	chrII	107701	110033	+	2333	756
YBL059C-A	chrII	108799	111201	-	2403	867
YBL059W	chrII	110594	111244	+	651	8
YBL058W	chrII	111409	112864	+	1456	7819
YBL057C	chrII	112277	113447	-	1171	302
YBL056W	chrII	113041	115581	+	2541	8524
YBL055C	chrII	115477	117224	-	1748	3693
YBL054W	chrII	116976	119359	+	2384	3625
YBL053W	chrII	119335	119709	+	375	0
YBL052C	chrII	119308	122141	-	2834	1743
YBL051C	chrII	122304	124832	-	2529	4141
YBL050W	chrII	125042	126230	+	1189	3724
YBL049W	chrII	126606	127508	+	903	602
YBL048W	chrII	127299	127610	+	312	8
YBL047C	chrII	127672	132213	-	4542	24456
YBL046W	chrII	132406	133937	+	1532	806
YBL045C	chrII	133824	135777	-	1954	5523
YBL044W	chrII	135998	136366	+	369	20
YBL043W	chrII	136495	137655	+	1161	909
YBL042C	chrII	138150	140349	-	2200	6305
YBL041W	chrII	140938	142040	+	1103	8854
YBL040C	chrII	141955	143165	-	1211	3642
YBL039W-B	chrII	143086	143749	+	664	383
YBL039C	chrII	143726	145807	-	2082	0
YBL039C-A	chrII	143805	145725	-	1921	0
YBL038W	chrII	146128	147061	+	934	2130
YBL037W	chrII	147209	150286	+	3078	2510
YBL036C	chrII	150307	152281	-	1975	3522
YBL035C	chrII	151364	153712	-	2349	1167
YBL034C	chrII	153848	158389	-	4542	3580
YBL033C	chrII	158483	159721	-	1239	3072
YBL032W	chrII	160086	161542	+	1457	4881
YBL031W	chrII	161663	162887	+	1225	356
YBL030C	chrII	162683	164145	-	1463	4656
YBL029C-A	chrII	164358	166047	-	1690	742
YBL029W	chrII	166134	167264	+	1131	511
YBL028C	chrII	167221	167899	-	679	2170
YBL027W	chrII	168392	169839	+	1448	24884
YBL026W	chrII	170552	171530	+	979	1415
YBL025W	chrII	171165	172503	+	1339	584
YBL024W	chrII	172476	174868	+	2393	10101
YBL023C	chrII	174746	177643	-	2898	3622
YBL022C	chrII	177798	181408	-	3611	26595
YBL021C	chrII	181490	182524	-	1035	828
YBL020W	chrII	182285	184205	+	1921	2406
YBL019W	chrII	184283	186031	+	1749	717
YBL018C	chrII	185253	186515	-	1263	267
YBL017C	chrII	186844	191583	-	4740	18059
YBL016W	chrII	192372	193647	+	1276	1909
YBL015W	chrII	193953	195984	+	2032	2674
YBL014C	chrII	198825	202236	-	3412	4577
YBL013W	chrII	202056	203261	+	1206	240
YBL012C	chrII	203406	203807	-	402	0
YBL011W	chrII	202814	206022	+	3209	6006
YBL010C	chrII	205798	207017	-	1220	668
YBL009W	chrII	207141	209372	+	2232	1553
YBL008W-A	chrII	209409	209648	+	240	1
YBL008W	chrII	209530	212279	+	2750	2793
YBL007C	chrII	212467	216436	-	3970	26401
YBL006C	chrII	216354	217444	-	1091	11
YBL006W-A	chrII	216559	217416	+	858	0
YBL005W	chrII	217404	220685	+	3282	4098
YBL004W	chrII	227636	235117	+	7482	24887
YBL003C	chrII	234898	237057	-	2160	2524
YBL002W	chrII	235789	237188	+	1400	0
YBL001C	chrII	236907	237807	-	901	3029
YBR001C	chrII	238710	241433	-	2724	2482
YBR002C	chrII	241428	242593	-	1166	51
YBR003W	chrII	241674	244364	+	2691	2587
YBR004C	chrII	244272	246715	-	2444	1847
YBR005W	chrII	245511	246920	+	1410	0
YBR006W	chrII	246865	248649	+	1785	2694
YBR007C	chrII	248623	251119	-	2497	1307
YBR008C	chrII	252403	254936	-	2534	2320
YBR009C	chrII	255025	256209	-	1185	3795
YBR010W	chrII	256230	257098	+	869	4354
YBR011C	chrII	256887	258034	-	1148	27695
YBR012C	chrII	258941	259571	-	631	764
YBR013C	chrII	265492	265881	-	390	712
YBR014C	chrII	266417	267515	-	1099	1871
YBR015C	chrII	267568	270385	-	2818	10888
YBR016W	chrII	269749	270846	+	1098	728
YBR017C	chrII	270760	274232	-	3473	10585
YBR018C	chrII	274272	276040	-	1769	181
YBR019C	chrII	275804	278388	-	2585	1284
YBR020W	chrII	278963	281395	+	2433	267
YBR021W	chrII	279860	283531	+	3672	432
YBR022W	chrII	282222	284429	+	2208	780
YBR023C	chrII	284226	288069	-	3844	10874
YBR024W	chrII	289106	291278	+	2173	536
YBR025C	chrII	289931	291968	-	2038	21445
YBR026C	chrII	292409	294102	-	1694	6737
YBR027C	chrII	294024	294356	-	333	0
YBR028C	chrII	294249	296196	-	1948	2431
YBR029C	chrII	296227	298090	-	1864	6377
YBR030W	chrII	298012	300071	+	2060	2270
YBR031W	chrII	300142	301451	+	1310	32290
YBR032W	chrII	301439	301948	+	510	122
YBR033W	chrII	301820	304792	+	2973	1212
YBR034C	chrII	304383	306037	-	1655	12510
YBR035C	chrII	306108	307334	-	1227	5923
YBR036C	chrII	308745	310389	-	1645	6911
YBR037C	chrII	310414	311512	-	1099	2034
YBR038W	chrII	311819	314979	+	3161	3079
YBR039W	chrII	315484	316949	+	1466	6559
YBR040W	chrII	316968	317864	+	897	30
YBR041W	chrII	318157	320450	+	2294	4387
YBR042C	chrII	320279	321669	-	1391	2184
YBR043C	chrII	321721	324094	-	2374	2376
YBR044C	chrII	324265	326142	-	1878	1692
YBR045C	chrII	328173	330092	-	1920	348
YBR046C	chrII	330073	331693	-	1621	1751
YBR047W	chrII	331288	332494	+	1207	439
YBR048W	chrII	332813	334340	+	1528	14723
YBR049C	chrII	333943	336967	-	3025	5038
YBR050C	chrII	337145	338460	-	1316	198
YBR051W	chrII	337988	338338	+	351	0
YBR052C	chrII	338434	339457	-	1024	8045
YBR053C	chrII	339332	340775	-	1444	6388
YBR054W	chrII	342779	344584	+	1806	24206
YBR055C	chrII	344489	347334	-	2846	3527
YBR056W	chrII	347809	349667	+	1859	5149
YBR056W-A	chrII	351095	352042	+	948	66
YBR056C-B	chrII	351178	351753	-	576	0
YBR057C	chrII	352055	353412	-	1358	246
YBR058C	chrII	352423	356190	-	3768	5144
YBR058C-A	chrII	355883	356625	-	743	1825
YBR059C	chrII	356751	360320	-	3570	9724
YBR060C	chrII	360589	362638	-	2050	2433
YBR061C	chrII	363589	365726	-	2138	3504
YBR062C	chrII	365872	366673	-	802	2256
YBR063C	chrII	366913	369557	-	2645	1217
YBR064W	chrII	367763	368191	+	429	0
YBR065C	chrII	367999	369758	-	1760	59
YBR066C	chrII	369932	371007	-	1076	725
YBR067C	chrII	371965	373120	-	1156	15903
YBR068C	chrII	373642	375856	-	2215	19115
YBR069C	chrII	375848	378602	-	2755	15500
YBR070C	chrII	378986	379980	-	995	1000
YBR071W	chrII	380195	381322	+	1128	2487
YBR072W	chrII	381848	382838	+	991	160604
YBR072C-A	chrII	382860	383021	-	162	2
YBR073W	chrII	383112	385988	+	2877	5453
YBR074W	chrII	386281	389331	+	3051	8179
YBR076W	chrII	390227	391291	+	1065	0
YBR076C-A	chrII	390129	391924	-	1796	131
YBR077C	chrII	391576	392834	-	1259	713
YBR078W	chrII	392866	395384	+	2519	34320
YBR079C	chrII	395215	398304	-	3090	16532
YBR080C	chrII	398442	400926	-	2485	8115
YBR081C	chrII	401253	405251	-	3999	3961
YBR082C	chrII	406101	407255	-	1155	12181
YBR083W	chrII	408914	410718	+	1805	1692
YBR084W	chrII	410975	414197	+	3223	13136
YBR084C-A	chrII	414063	415992	-	1930	18809
YBR085W	chrII	415428	417145	+	1718	739
YBR085C-A	chrII	418530	419738	-	1209	7420
YBR086C	chrII	420069	423360	-	3292	14663
YBR087W	chrII	423602	424945	+	1344	1793
YBR088C	chrII	424790	425818	-	1029	0
YBR089W	chrII	425018	426037	+	1020	0
YBR089C-A	chrII	425946	426873	-	928	849
YBR090C	chrII	426333	427058	-	726	0
YBR091C	chrII	426969	427549	-	581	815
YBR092C	chrII	427647	430844	-	3198	14673
YBR093C	chrII	429492	431417	-	1926	266
YBR094W	chrII	431970	434419	+	2450	2844
YBR095C	chrII	434314	435772	-	1459	1615
YBR096W	chrII	435960	437032	+	1073	5835
YBR097W	chrII	436951	441315	+	4365	3024
YBR098W	chrII	441489	444250	+	2762	437
YBR099C	chrII	442855	443681	-	827	0
YBR101C	chrII	442933	444751	-	1819	1115
YBR102C	chrII	444892	447390	-	2499	2408
YBR103W	chrII	447496	449378	+	1883	1450
YBR103C-A	chrII	449250	449890	-	641	2
YBR104W	chrII	449539	451132	+	1594	1090
YBR105C	chrII	450711	452124	-	1414	6413
YBR106W	chrII	452625	454786	+	2162	10955
YBR107C	chrII	453227	454604	-	1378	0
YBR108W	chrII	454743	457862	+	3120	2159
YBR109C	chrII	457579	461871	-	4293	7839
YBR109W-A	chrII	458498	459155	+	658	0
YBR110W	chrII	458614	460347	+	1734	0
YBR111C	chrII	461107	462146	-	1040	6
YBR111W-A	chrII	462098	462761	+	664	358
YBR112C	chrII	462616	465972	-	3357	2782
YBR113W	chrII	465566	466048	+	483	0
YBR114W	chrII	466101	469792	+	3692	5644
YBR115C	chrII	469611	473945	-	4335	10329
YBR116C	chrII	474199	474726	-	528	5
YBR117C	chrII	474392	476437	-	2046	758
YBR118W	chrII	477445	479148	+	1704	485149
YBR119W	chrII	479245	480588	+	1344	462
YBR120C	chrII	480181	481071	-	891	384
YBR121C	chrII	481250	483566	-	2317	102
YBR121C-A	chrII	481242	483363	-	2122	0
YBR122C	chrII	483768	485405	-	1638	3190
YBR123C	chrII	484670	486778	-	2109	706
YBR124W	chrII	486507	486866	+	360	0
YBR125C	chrII	487061	488576	-	1516	2302
YBR126C	chrII	488770	490559	-	1790	20896
YBR126W-A	chrII	490850	491056	+	207	4
YBR126W-B	chrII	490868	491294	+	427	0
YBR127C	chrII	490982	492986	-	2005	35887
YBR128C	chrII	492989	494168	-	1180	292
YBR129C	chrII	494193	495384	-	1192	1648
YBR130C	chrII	495479	496946	-	1468	2197
YBR131W	chrII	497111	499503	+	2393	1382
YBR131C-A	chrII	497650	497739	-	90	0
YBR132C	chrII	499349	501850	-	2502	1974
YBR133C	chrII	501498	504446	-	2949	3788
YBR134W	chrII	504243	504644	+	402	0
YBR135W	chrII	504575	505580	+	1006	2303
YBR136W	chrII	505668	512774	+	7107	6120
YBR137W	chrII	512952	513832	+	881	2343
YBR138C	chrII	513577	515437	-	1861	374
YBR139W	chrII	515658	517508	+	1851	11690
YBR140C	chrII	517350	526628	-	9279	19743
YBR141C	chrII	526823	528103	-	1281	248
YBR141W-A	chrII	526948	527854	+	907	0
YBR142W	chrII	528234	530852	+	2619	6671
YBR143C	chrII	530579	532285	-	1707	13551
YBR144C	chrII	533235	533549	-	315	41
YBR145W	chrII	533567	535122	+	1556	768
YBR146W	chrII	535191	536563	+	1373	3547
YBR147W	chrII	536427	537883	+	1457	176
YBR148W	chrII	537876	539705	+	1830	164
YBR149W	chrII	539922	541302	+	1381	14773
YBR150C	chrII	541209	544493	-	3285	1992
YBR151W	chrII	544879	546292	+	1414	6913
YBR152W	chrII	546376	547251	+	876	0
YBR153W	chrII	546385	548416	+	2032	824
YBR154C	chrII	547941	549150	-	1210	4720
YBR155W	chrII	549259	551084	+	1826	2721
YBR156C	chrII	550925	553278	-	2354	812
YBR157C	chrII	553414	555160	-	1747	2384
YBR158W	chrII	556201	558353	+	2153	22166
YBR159W	chrII	558632	559894	+	1263	5409
YBR160W	chrII	559920	561577	+	1658	2759
YBR161W	chrII	561367	563003	+	1637	834
YBR162C	chrII	562831	564842	-	2012	5458
YBR162W-A	chrII	563740	565513	+	1774	2009
YBR163W	chrII	565611	567701	+	2091	1957
YBR164C	chrII	567430	568552	-	1123	1992
YBR165W	chrII	568741	569837	+	1097	1359
YBR166C	chrII	569730	571279	-	1550	3048
YBR167C	chrII	571355	572502	-	1148	314
YBR168W	chrII	571799	573768	+	1970	1088
YBR169C	chrII	573746	576124	-	2379	17377
YBR170C	chrII	576057	578155	-	2099	6143
YBR171W	chrII	578311	579177	+	867	3052
YBR172C	chrII	579012	581501	-	2490	5293
YBR173C	chrII	581492	582203	-	712	314
YBR174C	chrII	582174	583425	-	1252	0
YBR175W	chrII	581736	583462	+	1727	0
YBR176W	chrII	582887	584821	+	1935	1296
YBR177C	chrII	584563	586367	-	1805	4822
YBR178W	chrII	585980	586573	+	594	0
YBR179C	chrII	586378	589189	-	2812	2770
YBR180W	chrII	589741	591459	+	1719	373
YBR181C	chrII	591476	592966	-	1491	21374
YBR182C	chrII	593506	594864	-	1359	880
YBR182C-A	chrII	594946	595849	-	904	196
YBR183W	chrII	596008	597193	+	1186	819
YBR184W	chrII	597363	598934	+	1572	217
YBR185C	chrII	598933	600031	-	1099	1602
YBR186W	chrII	600553	602360	+	1808	177
YBR187W	chrII	601659	603743	+	2085	3
YBR188C	chrII	602521	604197	-	1677	0
YBR189W	chrII	603637	606258	+	2622	25425
YBR190W	chrII	605966	606277	+	312	0
YBR191W	chrII	606248	607191	+	944	0
YBR191W-A	chrII	606300	607280	+	981	3
YBR192W	chrII	607429	609083	+	1655	766
YBR193C	chrII	608093	609938	-	1846	914
YBR194W	chrII	609909	610681	+	773	478
YBR195C	chrII	610459	611950	-	1492	1709
YBR196C	chrII	612043	614002	-	1960	132845
YBR196C-A	chrII	613915	614587	-	673	88
YBR196C-B	chrII	614526	614630	-	105	0
YBR197C	chrII	614592	617352	-	2761	1596
YBR198C	chrII	616031	618609	-	2579	1448
YBR199W	chrII	618810	620613	+	1804	8207
YBR200W	chrII	620809	622782	+	1974	3399
YBR200W-A	chrII	622983	623147	+	165	29
YBR201W	chrII	623433	624921	+	1489	1103
YBR201C-A	chrII	624254	625418	-	1165	24
YBR202W	chrII	625655	628486	+	2832	5748
YBR203W	chrII	628973	632194	+	3222	1508
YBR204C	chrII	631985	633452	-	1468	1271
YBR205W	chrII	633622	634836	+	1215	3
YBR206W	chrII	633637	635026	+	1390	163
YBR207W	chrII	635061	636740	+	1680	4187
YBR208C	chrII	636703	642210	-	5508	6375
YBR209W	chrII	642554	642993	+	440	158
YBR210W	chrII	645330	646111	+	782	1293
YBR211C	chrII	646158	647132	-	975	934
YBR212W	chrII	647438	650110	+	2673	2844
YBR213W	chrII	650250	651419	+	1170	201
YBR214W	chrII	651293	653198	+	1906	1160
YBR215W	chrII	653315	655782	+	2468	926
YBR216C	chrII	655282	657647	-	2366	1891
YBR217W	chrII	657768	658720	+	953	528
YBR218C	chrII	658591	662399	-	3809	15966
YBR219C	chrII	662499	663303	-	805	21
YBR220C	chrII	662734	664806	-	2073	1714
YBR221C	chrII	664844	666471	-	1628	13363
YBR221W-A	chrII	666538	666642	+	105	0
YBR222C	chrII	666606	669056	-	2451	6671
YBR223C	chrII	668403	670320	-	1918	591
YBR223W-A	chrII	668721	668840	+	120	0
YBR224W	chrII	670125	670640	+	516	23
YBR225W	chrII	670627	673329	+	2703	1727
YBR226C	chrII	673155	673565	-	411	8
YBR227C	chrII	673443	675226	-	1784	1643
YBR228W	chrII	674994	676380	+	1387	822
YBR229C	chrII	676226	679250	-	3025	10168
YBR230C	chrII	679461	680271	-	811	37
YBR230W-A	chrII	679572	680694	+	1123	454
YBR231C	chrII	681897	683356	-	1460	697
YBR232C	chrII	683373	683732	-	360	0
YBR233W	chrII	683274	684834	+	1561	554
YBR233W-A	chrII	684930	685613	+	684	393
YBR234C	chrII	685281	686654	-	1374	6389
YBR235W	chrII	686820	690354	+	3535	2955
YBR236C	chrII	689753	691740	-	1988	2953
YBR237W	chrII	691916	694611	+	2696	1593
YBR238C	chrII	694607	697384	-	2778	4381
YBR239C	chrII	698243	700105	-	1863	1185
YBR240C	chrII	700490	701842	-	1353	419
YBR241C	chrII	702412	704174	-	1763	2443
YBR242W	chrII	704400	705647	+	1248	261
YBR243C	chrII	704854	706846	-	1993	1577
YBR244W	chrII	706948	708146	+	1199	1948
YBR245C	chrII	708150	711539	-	3390	5879
YBR246W	chrII	711533	712897	+	1365	3181
YBR247C	chrII	712724	714677	-	1954	5260
YBR248C	chrII	714623	716570	-	1948	5138
YBR249C	chrII	716597	718130	-	1534	7832
YBR250W	chrII	719033	720604	+	1572	218
YBR251W	chrII	721298	722462	+	1165	1654
YBR252W	chrII	722576	723353	+	778	1317
YBR253W	chrII	723053	723734	+	682	208
YBR254C	chrII	723541	724276	-	736	920
YBR255W	chrII	724415	726708	+	2294	1280
YBR255C-A	chrII	726426	727134	-	709	112
YBR256C	chrII	726918	728165	-	1248	3268
YBR257W	chrII	728374	730005	+	1632	431
YBR258C	chrII	729380	730237	-	858	37
YBR259W	chrII	730327	732690	+	2364	1245
YBR260C	chrII	732147	734680	-	2534	2750
YBR261C	chrII	734645	735567	-	923	3485
YBR262C	chrII	735574	736084	-	511	1185
YBR263W	chrII	736206	737919	+	1714	6795
YBR264C	chrII	737659	738811	-	1153	166
YBR265W	chrII	738110	739687	+	1578	2838
YBR267W	chrII	739674	741142	+	1469	2223
YBR266C	chrII	739936	740388	-	453	0
YBR268W	chrII	741112	741807	+	696	1039
YBR269C	chrII	741813	742647	-	835	1567
YBR270C	chrII	742708	744641	-	1934	905
YBR271W	chrII	744594	746209	+	1616	1921
YBR272C	chrII	746113	747833	-	1721	2069
YBR273C	chrII	747952	749426	-	1475	2754
YBR274W	chrII	749554	751427	+	1874	2298
YBR275C	chrII	751356	757106	-	5751	3650
YBR276C	chrII	757531	760185	-	2655	3881
YBR277C	chrII	760215	760616	-	402	0
YBR278W	chrII	760269	761119	+	851	253
YBR279W	chrII	761212	762952	+	1741	2707
YBR280C	chrII	762601	764767	-	2167	1074
YBR281C	chrII	764840	767659	-	2820	3156
YBR282W	chrII	767403	768768	+	1366	922
YBR283C	chrII	768700	771067	-	2368	13309
YBR284W	chrII	771239	773632	+	2394	958
YBR285W	chrII	773767	774515	+	749	150
YBR286W	chrII	774671	776490	+	1820	48521
YBR287W	chrII	776480	778083	+	1604	1644
YBR288C	chrII	777018	779919	-	2902	1815
YBR289W	chrII	779638	782457	+	2820	1391
YBR290W	chrII	782550	783733	+	1184	1469
YBR291C	chrII	783404	784619	-	1216	803
YBR292C	chrII	784702	785073	-	372	72
YBR293W	chrII	787006	788430	+	1425	1146
YBR294W	chrII	789235	791814	+	2580	1647
YBR295W	chrII	792849	796499	+	3651	2758
YBR296C	chrII	796326	798581	-	2256	216
YBR296C-A	chrII	800123	800242	-	120	0
YBR297W	chrII	799283	802171	+	2889	776
YBR298C	chrII	802538	804917	-	2380	798
YBR298C-A	chrII	805035	805256	-	222	3
YBR299W	chrII	805242	807236	+	1995	452
YBR300C	chrII	808317	809395	-	1079	54
YBR301W	chrII	809057	809419	+	363	2
YBR302C	chrII	810340	811479	-	1140	1741
YCL076W	chrIII	1392	2135	+	744	0
YCL073C	chrIII	6479	8326	-	1848	48
YCL069W	chrIII	9706	11082	+	1377	86
YCL068C	chrIII	11503	12285	-	783	64
YCL067C	chrIII	12386	13018	-	633	236
YCL066W	chrIII	13282	13809	+	528	0
YCL065W	chrIII	13751	14119	+	369	45
